date,symbol,dividend,split
2015-03-04,PFC,3.4,0.0
2015-09-15,PFC,0.24,0.0
2015-12-23,PFC,3.52,0.0
2016-02-16,PFC,1.8,0.0
2016-08-11,PFC,0.24,0.0
2016-08-26,PFC,0.0,2.0
2017-03-30,PFC,4.0,0.0
2017-11-10,PFC,4.8,0.0
2018-03-06,PFC,1.44,0.0
2020-02-28,PFC,7.6,0.0
2021-03-19,PFC,6.4,0.0
2021-07-01,PFC,1.6,0.0
2021-08-31,PFC,1.8,0.0
2021-11-24,PFC,2.0,0.0
2022-02-25,PFC,4.8,0.0
2022-06-09,PFC,1.0,0.0
2022-09-01,PFC,1.8,0.0
2022-11-24,PFC,2.4,0.0
2023-02-24,PFC,2.8,0.0
2023-06-16,PFC,3.6,0.0
2023-09-21,PFC,0.0,1.25
2023-11-24,PFC,4.5,0.0
2024-02-20,PFC,3.5,0.0
2024-03-22,PFC,3.0,0.0
2024-07-26,PFC,2.5,0.0
2024-08-30,PFC,3.25,0.0
2024-11-25,PFC,3.5,0.0
2025-02-28,PFC,3.5,0.0
2025-03-19,PFC,3.5,0.0
2025-06-13,PFC,2.05,0.0
2025-08-18,PFC,3.7,0.0
2025-11-26,PFC,3.65,0.0
2026-02-20,PFC,4.0,0.0
2026-03-23,PFC,3.25,0.0
2026-07-31,PFC,3.95,0.0
2026-08-27,PFC,3.9,0.0
2008-09-08,RECLTD,1.125,0.0
2009-02-26,RECLTD,0.75,0.0
2009-09-03,RECLTD,0.9375,0.0
2010-01-04,RECLTD,1.125,0.0
2010-08-24,RECLTD,1.3125,0.0
2011-02-11,RECLTD,1.3125,0.0
2011-08-30,RECLTD,1.5,0.0
2012-01-30,RECLTD,1.875,0.0
2012-09-04,RECLTD,0.9375,0.0
2013-02-08,RECLTD,2.53125,0.0
2013-08-28,RECLTD,0.5625,0.0
2014-02-20,RECLTD,2.90625,0.0
2014-09-02,RECLTD,0.65625,0.0
2015-02-18,RECLTD,3.0,0.0
2015-09-09,RECLTD,1.0125,0.0
2016-02-17,RECLTD,4.5,0.0
2016-08-22,RECLTD,1.9125,0.0
2016-09-28,RECLTD,0.0,2.0
2017-02-27,RECLTD,5.25,0.0
2017-09-14,RECLTD,1.9875,0.0
2018-02-15,RECLTD,5.55,0.0
2018-09-17,RECLTD,1.3125,0.0
2019-03-11,RECLTD,8.25,0.0
2020-02-11,RECLTD,8.25,0.0
2020-11-13,RECLTD,4.5,0.0
2021-03-18,RECLTD,3.75,0.0
2021-08-13,RECLTD,1.5,0.0
2021-09-16,RECLTD,1.2825,0.0
2021-11-11,RECLTD,1.875,0.0
2022-02-15,RECLTD,4.5,0.0
2022-07-12,RECLTD,3.6,0.0
2022-08-17,RECLTD,0.0,1.3333333333333333
2022-11-07,RECLTD,5.0,0.0
2023-02-09,RECLTD,3.25,0.0
2023-07-14,RECLTD,4.35,0.0
2023-08-14,RECLTD,3.0,0.0
2023-11-13,RECLTD,3.5,0.0
2024-03-28,RECLTD,4.5,0.0
2024-06-28,RECLTD,5.0,0.0
2024-08-09,RECLTD,3.5,0.0
2024-11-08,RECLTD,4.0,0.0
2025-02-14,RECLTD,4.3,0.0
2025-03-26,RECLTD,3.6,0.0
2025-08-01,RECLTD,4.6,0.0
2025-08-14,RECLTD,2.6,0.0
2025-10-27,RECLTD,4.6,0.0
2026-02-06,RECLTD,4.6,0.0
2026-03-20,RECLTD,3.2,0.0
2026-07-31,RECLTD,4.25,0.0
2026-08-14,RECLTD,1.55,0.0
2002-09-03,CUMMINSIND,1.071429,0.0
2003-05-23,CUMMINSIND,2.857143,0.0
2003-12-05,CUMMINSIND,1.428571,0.0
2004-07-16,CUMMINSIND,1.428571,0.0
2005-02-11,CUMMINSIND,1.428571,0.0
2005-07-15,CUMMINSIND,1.428571,0.0
2006-03-02,CUMMINSIND,1.428571,0.0
2006-07-17,CUMMINSIND,1.428571,0.0
2007-02-08,CUMMINSIND,1.428571,0.0
2007-07-19,CUMMINSIND,1.428571,0.0
2008-02-14,CUMMINSIND,1.428571,0.0
2008-07-17,CUMMINSIND,1.857143,0.0
2008-12-15,CUMMINSIND,3.428571,0.0
2009-02-03,CUMMINSIND,2.857143,0.0
2009-07-23,CUMMINSIND,1.857143,0.0
2009-12-14,CUMMINSIND,4.285714,0.0
2010-08-05,CUMMINSIND,4.285714,0.0
2011-02-10,CUMMINSIND,5.0,0.0
2011-07-28,CUMMINSIND,5.714286,0.0
2011-09-20,CUMMINSIND,0.0,1.4
2012-02-21,CUMMINSIND,5.0,0.0
2012-07-26,CUMMINSIND,6.0,0.0
2013-02-11,CUMMINSIND,5.0,0.0
2013-07-25,CUMMINSIND,8.0,0.0
2014-02-13,CUMMINSIND,5.0,0.0
2014-07-24,CUMMINSIND,8.0,0.0
2014-09-18,CUMMINSIND,5.0,0.0
